UEN,WEBSITE,SOURCES,pred_label,true_pred
196000058W,tching.com,ORBIS,C,B
196000058W,NAMWANTEA.COM.SG,SGNIC,C,B
197801993R,www.sinhengchan.com.sg,ORBIS,C,B
197900383D,www.fohfoh.com,ORBIS,C,B
197900383D,ALGO.COM.SG,SGNIC,C,B
197900383D,LOCKNLOCK.COM.SG,SGNIC,C,B
198002293G,www.bando.com.sg,ORBIS,C,B
198100897H,www.cambert.com.my/contact_us.php,ORBIS,B,C
198100897H,CAMBERT.COM.SG,SGNIC,B,C
198100897H,THEPRIME.SG,SGNIC,B,C
198104618N,www.kcprofessional.com.sg,ORBIS,B,C
198301242G,www.town4kids.com,ORBIS,B,C
198304140Z,waseaca-singapore.com,ORBIS,B,C
198304140Z,WASEACA.COM.SG,SGNIC,B,C
198403449H,www.tipex.com.sg,ORBIS,B,C
198502722W,www.southerngrace.com.sg,ORBIS,C,B
198703410D,www.savills.com.sg,ORBIS,C,B
198703410D,GROSVENORHILLVENTURES.COM.SG,SGNIC,C,B
198703410D,JOINTHEBEST.COM.SG,SGNIC,C,B
198703410D,LIVETHERE.COM.SG,SGNIC,C,B
198703410D,SAVILS.SG,SGNIC,C,B
198703410D,WORKTHERE.COM.SG,SGNIC,C,B
198801211R,www.sfcpl.com,ORBIS,C,B
198804318R,www.hmi.com.sg,ORBIS,C,B
198804318R,HMI.SG,SGNIC,C,B
198804318R,hmi-ihs.com/,GMAP,C,B
199002323W,www.worldship.com.sg,ORBIS,C,B
199104723M,www.trinitycasket.com,ORBIS,C,B
199104723M,KIASUPATIENTS.COM.SG,SGNIC,C,B
199104723M,TRINITYCASKET.COM.SG,SGNIC,C,B
199104892E,www.spectec.net,ORBIS,C,B
199104892E,SPECTEC.COM.SG,SGNIC,C,B
199200276N,www.yoursingapore.biz/it/gettingthere/travelinfo.php,ORBIS,C,B
199202103K,www.icresource.com.sg,ORBIS,B,C
199202190M,qualmac.com,ORBIS,B,C
199203118N,trelleborg.com/en/marine-systems,ORBIS,C,B
199301866H,kitchoan.com.sg,ORBIS,C,B
