UEN,ONLINE_PRESENCE_IND,CORPORATE_URL_IND,ECOM_REV,ECOM_REV_IND,TRUE_IE
00119300K,1.0,0.0,0.0,0.0,B
00277200X,1.0,1.0,250000.0,1.0,C
02484100E,1.0,1.0,0.0,0.0,B
03317900W,1.0,1.0,180000.0,1.0,C
03442400L,1.0,0.0,5000.0,1.0,C
04150900E,1.0,0.0,0.0,0.0,B
04702000L,1.0,1.0,500.0,1.0,C
04925100K,1.0,1.0,10000.0,1.0,C
05450000A,1.0,0.0,0.0,0.0,B
06000100C,1.0,1.0,1000000.0,1.0,C
06555200L,1.0,1.0,2060.0,1.0,C
06648100K,1.0,0.0,175000.0,1.0,C
06876400J,1.0,1.0,38000.0,1.0,C
07079700E,1.0,1.0,2000.0,1.0,C
07481100B,1.0,0.0,1.0,1.0,C
07537900K,1.0,0.0,0.0,0.0,B
07837300W,1.0,1.0,0.0,0.0,B
08661000K,1.0,0.0,0.0,0.0,B
08729000J,1.0,1.0,100000.0,1.0,C
08931100X,1.0,0.0,0.0,0.0,B
09010000W,1.0,0.0,0.0,0.0,B
09881100B,1.0,1.0,0.0,0.0,B
192600019W,1.0,1.0,0.0,0.0,B
195000080D,1.0,1.0,0.0,0.0,B
195000088K,1.0,1.0,0.0,0.0,B
195500035M,1.0,1.0,0.0,0.0,B
196100017Z,1.0,1.0,0.0,0.0,B
196200236G,1.0,1.0,0.0,0.0,B
196300127N,1.0,1.0,0.0,0.0,B
196300331K,1.0,1.0,63663.0,1.0,C
196400021W,1.0,1.0,0.0,0.0,B
196500324W,1.0,1.0,219000.0,1.0,C
196600206D,1.0,1.0,0.0,0.0,B
196600227Z,1.0,1.0,0.0,0.0,B
196700378M,1.0,1.0,0.0,0.0,B
196800629G,1.0,1.0,0.0,0.0,B
196900389D,1.0,1.0,1000.0,1.0,C
196900448R,1.0,1.0,135000.0,1.0,C
196900543R,1.0,1.0,0.0,0.0,B
196900561Z,1.0,1.0,0.0,0.0,B
196900658W,1.0,1.0,0.0,0.0,B
197000400K,1.0,1.0,0.0,0.0,B
197100270N,1.0,1.0,0.0,0.0,B
197101116E,1.0,1.0,0.0,0.0,B
197101145M,1.0,1.0,40425.0,1.0,C
197201203W,1.0,1.0,0.0,0.0,B
197201353R,1.0,1.0,2000.0,1.0,C
197301590G,1.0,1.0,0.0,0.0,B
197302096R,1.0,1.0,0.0,0.0,B
197302391E,1.0,1.0,0.0,0.0,B
197400001W,1.0,1.0,486244.0,1.0,C
197400546R,1.0,1.0,40000.0,1.0,C
197400832D,1.0,1.0,0.0,0.0,B
197400947E,1.0,1.0,0.0,0.0,B
197401152D,1.0,1.0,0.0,0.0,B
197401342Z,1.0,1.0,0.0,0.0,B
197401348E,1.0,1.0,0.0,0.0,B
197500055H,1.0,1.0,12000.0,1.0,C
197500361C,1.0,1.0,55000.0,1.0,C
197500842Z,1.0,1.0,5574.0,1.0,C
197500910N,1.0,1.0,29919.0,1.0,C
197501157C,1.0,1.0,0.0,0.0,B
197501716G,1.0,1.0,1.0,1.0,C
197502125W,1.0,1.0,0.0,0.0,B
197502186E,1.0,1.0,8768204.0,1.0,C
197600953C,1.0,1.0,130000.0,1.0,C
197600989E,1.0,1.0,0.0,0.0,B
197601737G,1.0,1.0,0.0,0.0,B
197602121W,1.0,1.0,0.0,0.0,B
197602274H,1.0,1.0,16.0,1.0,C
197602569N,1.0,1.0,5000.0,1.0,C
197700399N,1.0,1.0,0.0,0.0,B
197700430N,1.0,1.0,0.0,0.0,B
197700453M,1.0,1.0,0.0,0.0,B
197700475Z,1.0,1.0,0.0,0.0,B
197700527M,1.0,1.0,0.0,0.0,B
197700532K,1.0,1.0,0.0,0.0,B
197701165Z,1.0,1.0,660972.0,1.0,C
197701362R,1.0,0.0,1500000.0,1.0,C
197701851E,1.0,1.0,0.0,0.0,B
197701895Z,1.0,1.0,10000.0,1.0,C
197702531M,1.0,1.0,0.0,0.0,B
197702630R,1.0,1.0,1368.0,1.0,C
197702882K,1.0,1.0,0.0,0.0,B
197801109K,1.0,0.0,150000.0,1.0,C
197801482Z,1.0,1.0,50000.0,1.0,C
197801655D,1.0,1.0,0.0,0.0,B
197802430K,1.0,1.0,0.0,0.0,B
197802499E,1.0,1.0,0.0,0.0,B
197900124H,1.0,1.0,0.0,0.0,B
197900428R,1.0,1.0,0.0,0.0,B
197900507N,1.0,1.0,0.0,0.0,B
197900599K,1.0,1.0,0.0,0.0,B
197900760D,1.0,1.0,90000.0,1.0,C
197901344Z,1.0,1.0,2704000.0,1.0,C
197901352K,1.0,1.0,0.0,0.0,B
197901543W,1.0,1.0,0.0,0.0,B
197901976G,1.0,1.0,60000.0,1.0,C
197902131C,1.0,0.0,0.0,0.0,B
197902335N,1.0,1.0,22000.0,1.0,C
197903364W,1.0,1.0,0.0,0.0,B
197903621W,1.0,1.0,339289.0,1.0,C
197903704Z,1.0,1.0,112561.0,1.0,C
197903872C,1.0,1.0,3353.0,1.0,C
197903957E,1.0,1.0,0.0,0.0,B
198000416N,1.0,1.0,0.0,0.0,B
198000750D,1.0,1.0,0.0,0.0,B
198001122R,1.0,1.0,0.0,0.0,B
198001553D,1.0,0.0,3000.0,1.0,C
198001680D,1.0,1.0,0.0,0.0,B
198002293G,1.0,1.0,0.0,0.0,B
198002772D,1.0,1.0,50000.0,1.0,C
198002863R,1.0,1.0,0.0,0.0,B
198002999N,1.0,1.0,0.0,0.0,B
198003038M,1.0,1.0,0.0,0.0,B
198003192W,1.0,1.0,381854.0,1.0,C
198003640E,1.0,0.0,0.0,0.0,B
198003739E,1.0,1.0,695768.0,1.0,C
198100305Z,1.0,1.0,0.0,0.0,B
198100619Z,1.0,1.0,0.0,0.0,B
198100673K,1.0,1.0,0.0,0.0,B
198100891D,1.0,1.0,0.0,0.0,B
198100897H,1.0,1.0,172884.0,1.0,C
198101944D,1.0,1.0,0.0,0.0,B
198102315E,1.0,1.0,408392.0,1.0,C
198102429R,1.0,1.0,0.0,0.0,B
198102573H,1.0,1.0,0.0,0.0,B
198102594E,1.0,1.0,0.0,0.0,B
198102854W,1.0,1.0,0.0,0.0,B
198103682C,1.0,1.0,0.0,0.0,B
198104618N,1.0,1.0,30000000.0,1.0,C
198104636W,1.0,1.0,0.0,0.0,B
198104932W,1.0,0.0,0.0,0.0,B
198105013H,1.0,1.0,0.0,0.0,B
198200772W,1.0,1.0,0.0,0.0,B
198202503D,1.0,1.0,0.0,0.0,B
198202568N,1.0,1.0,0.0,0.0,B
198203250G,1.0,1.0,0.0,0.0,B
198204057K,1.0,1.0,0.0,0.0,B
198204911E,1.0,1.0,0.0,0.0,B
198300203K,1.0,1.0,0.0,0.0,B
198300394K,1.0,1.0,0.0,0.0,B
198301003W,1.0,1.0,0.0,0.0,B
198301491H,1.0,1.0,0.0,0.0,B
198301685H,1.0,1.0,0.0,0.0,B
198301802D,1.0,1.0,0.0,0.0,B
198301813G,1.0,1.0,0.0,0.0,B
198301849K,1.0,1.0,0.0,0.0,B
198301901G,1.0,1.0,0.0,0.0,B
198301974H,1.0,1.0,0.0,0.0,B
198302289K,1.0,1.0,0.0,0.0,B
198302782G,1.0,1.0,0.0,0.0,B
198302829C,1.0,1.0,28000000.0,1.0,C
198302982R,1.0,0.0,72000.0,1.0,C
198303071W,1.0,1.0,0.0,0.0,B
198303987G,1.0,1.0,3000.0,1.0,C
198304163W,1.0,1.0,0.0,0.0,B
198304576C,1.0,1.0,0.0,0.0,B
198304837E,1.0,1.0,0.0,0.0,B
198304879W,1.0,1.0,0.0,0.0,B
198305296Z,1.0,1.0,0.0,0.0,B
198305338Z,1.0,1.0,0.0,0.0,B
198305474C,1.0,1.0,0.0,0.0,B
198306044C,1.0,1.0,0.0,0.0,B
198306087E,1.0,1.0,0.0,0.0,B
198401297H,1.0,1.0,0.0,0.0,B
198401466H,1.0,0.0,0.0,0.0,B
198402561E,1.0,1.0,0.0,0.0,B
198402617C,1.0,1.0,200.0,1.0,C
198402708N,1.0,1.0,0.0,0.0,B
198402847H,1.0,1.0,0.0,0.0,B
198402866D,1.0,1.0,100.0,1.0,C
198402883R,1.0,1.0,0.0,0.0,B
198402921M,1.0,1.0,0.0,0.0,B
198403049K,1.0,1.0,0.0,0.0,B
198403067N,1.0,1.0,0.0,0.0,B
198403069R,1.0,0.0,0.0,0.0,B
198403070K,1.0,1.0,0.0,0.0,B
198403250N,1.0,1.0,0.0,0.0,B
198403411D,1.0,1.0,0.0,0.0,B
198403608R,1.0,1.0,0.0,0.0,B
198403735R,1.0,1.0,0.0,0.0,B
198404282K,1.0,1.0,0.0,0.0,B
198500162H,1.0,1.0,0.0,0.0,B
198500319K,1.0,1.0,0.0,0.0,B
198500438Z,1.0,1.0,0.0,0.0,B
198500558Z,1.0,1.0,0.0,0.0,B
198500992D,1.0,1.0,0.0,0.0,B
198500994E,1.0,1.0,1178178.0,1.0,C
198501019D,1.0,1.0,0.0,0.0,B
198501971D,1.0,1.0,0.0,0.0,B
198502476C,1.0,0.0,0.0,0.0,B
198600094W,1.0,1.0,1458000.0,1.0,C
198600410K,1.0,1.0,3000.0,1.0,C
198600470G,1.0,0.0,0.0,0.0,B
198600573N,1.0,1.0,0.0,0.0,B
198600978G,1.0,1.0,0.0,0.0,B
198601085M,1.0,1.0,0.0,0.0,B
198601496N,1.0,1.0,0.0,0.0,B
198602133W,1.0,1.0,246442.0,1.0,C
198602599W,1.0,1.0,109000.0,1.0,C
198700219D,1.0,1.0,0.0,0.0,B
198700485W,1.0,1.0,0.0,0.0,B
198701018Z,1.0,1.0,1260000.0,1.0,C
198701195D,1.0,1.0,0.0,0.0,B
198701264H,1.0,1.0,0.0,0.0,B
198701453N,1.0,1.0,0.0,0.0,B
198701916H,1.0,0.0,4551.0,1.0,C
198702125K,1.0,1.0,1300.0,1.0,C
198702783M,1.0,1.0,0.0,0.0,B
198702809K,1.0,1.0,1.0,1.0,C
198703252G,1.0,1.0,0.0,0.0,B
198800025G,1.0,1.0,0.0,0.0,B
198800388Z,1.0,1.0,0.0,0.0,B
198800546R,1.0,1.0,0.0,0.0,B
198801211R,1.0,1.0,0.0,0.0,B
198801314D,1.0,1.0,0.0,0.0,B
198801762D,1.0,1.0,1363986.0,1.0,C
198801769Z,1.0,1.0,200.0,1.0,C
198801965E,1.0,1.0,0.0,0.0,B
198802055W,1.0,1.0,0.0,0.0,B
198802093G,1.0,1.0,26700.0,1.0,C
198803534K,1.0,1.0,0.0,0.0,B
198803647K,1.0,1.0,0.0,0.0,B
198803822Z,1.0,1.0,0.0,0.0,B
198804063C,1.0,1.0,0.0,0.0,B
198804109E,1.0,1.0,0.0,0.0,B
198804175K,1.0,1.0,0.0,0.0,B
198804248Z,1.0,1.0,180.0,1.0,C
198804620E,1.0,1.0,500000.0,1.0,C
198900616R,1.0,1.0,26253.0,1.0,C
198900710E,1.0,1.0,300.0,1.0,C
198900842Z,1.0,1.0,0.0,0.0,B
198901365C,1.0,1.0,0.0,0.0,B
198901708R,1.0,1.0,2500.0,1.0,C
198901787G,1.0,1.0,0.0,0.0,B
198902476R,1.0,1.0,0.0,0.0,B
198902713K,1.0,1.0,0.0,0.0,B
198904891W,1.0,1.0,0.0,0.0,B
198904951C,1.0,1.0,0.0,0.0,B
199000435N,1.0,1.0,131597.0,1.0,C
199000818Z,1.0,1.0,0.0,0.0,B
199000936W,1.0,1.0,0.0,0.0,B
199001956Z,1.0,1.0,0.0,0.0,B
199002041W,1.0,1.0,380000.0,1.0,C
199002216D,1.0,1.0,0.0,0.0,B
199002323W,1.0,1.0,0.0,0.0,B
199003987C,1.0,1.0,0.0,0.0,B
199004158N,1.0,1.0,11333.0,1.0,C
199004718K,1.0,1.0,0.0,0.0,B
199005258E,1.0,1.0,3500000.0,1.0,C
199005279C,1.0,1.0,0.0,0.0,B
199005825C,1.0,1.0,13045350.0,1.0,C
199005920C,1.0,1.0,126000.0,1.0,C
199100396K,1.0,1.0,3600.0,1.0,C
199100470N,1.0,1.0,0.0,0.0,B
199101028R,1.0,1.0,200000.0,1.0,C
199101233D,1.0,1.0,0.0,0.0,B
199102042M,1.0,1.0,0.0,0.0,B
199102673H,1.0,1.0,0.0,0.0,B
199102813C,1.0,1.0,0.0,0.0,B
199102900K,1.0,1.0,0.0,0.0,B
199103660Z,1.0,1.0,0.0,0.0,B
199104341W,1.0,1.0,0.0,0.0,B
199104723M,1.0,1.0,0.0,0.0,B
199105193K,1.0,1.0,0.0,0.0,B
199105264W,1.0,1.0,3308000.0,1.0,C
199105423E,1.0,1.0,7207071.0,1.0,C
199105471G,1.0,1.0,0.0,0.0,B
199105738R,1.0,1.0,0.0,0.0,B
199106396H,1.0,1.0,0.0,0.0,B
199200444D,1.0,1.0,0.0,0.0,B
199201077M,1.0,1.0,0.0,0.0,B
199201083C,1.0,1.0,0.0,0.0,B
199201392G,1.0,1.0,0.0,0.0,B
199201393W,1.0,1.0,3841551.0,1.0,C
199201864D,1.0,1.0,0.0,0.0,B
199202190M,1.0,1.0,0.0,0.0,B
199202435N,1.0,1.0,219685.0,1.0,C
199202446W,1.0,1.0,0.0,0.0,B
199202468E,1.0,1.0,5000.0,1.0,C
199202749N,1.0,1.0,0.0,0.0,B
199202806E,1.0,1.0,0.0,0.0,B
199203118N,1.0,1.0,0.0,0.0,B
199203601W,1.0,1.0,0.0,0.0,B
199203870E,1.0,0.0,640.0,1.0,C
199204058G,1.0,1.0,4040043.0,1.0,C
199204265R,1.0,1.0,293000.0,1.0,C
199204270N,1.0,1.0,0.0,0.0,B
199204820W,1.0,1.0,0.0,0.0,B
199205595N,1.0,1.0,0.0,0.0,B
199205695H,1.0,0.0,1697000.0,1.0,C
199205826Z,1.0,1.0,170870.0,1.0,C
199205897Z,1.0,1.0,0.0,0.0,B
199206167R,1.0,0.0,0.0,0.0,B
199206293E,1.0,1.0,0.0,0.0,B
199207013K,1.0,1.0,0.0,0.0,B
199300094M,1.0,1.0,600000.0,1.0,C
199300580H,1.0,1.0,0.0,0.0,B
199300607W,1.0,1.0,0.0,0.0,B
199300971E,1.0,1.0,948316.0,1.0,C
199301697H,1.0,1.0,0.0,0.0,B
199302061N,1.0,1.0,0.0,0.0,B
199302257R,1.0,1.0,524000.0,1.0,C
199303043G,1.0,0.0,70000.0,1.0,C
199303792C,1.0,1.0,0.0,0.0,B
199304095H,1.0,1.0,0.0,0.0,B
199305188Z,1.0,1.0,0.0,0.0,B
199305487M,1.0,1.0,0.0,0.0,B
199305769M,1.0,1.0,0.0,0.0,B
199306560C,1.0,0.0,560769.0,1.0,C
199306766R,1.0,1.0,0.0,0.0,B
199307186K,1.0,1.0,0.0,0.0,B
199307306W,1.0,1.0,10519675.0,1.0,C
199307324C,1.0,1.0,1000.0,1.0,C
199307477M,1.0,1.0,0.0,0.0,B
199307558M,1.0,1.0,493853.0,1.0,C
199307784R,1.0,1.0,0.0,0.0,B
199307858R,1.0,1.0,0.0,0.0,B
199307984E,1.0,1.0,1000.0,1.0,C
199308618M,1.0,1.0,0.0,0.0,B
199400089W,1.0,1.0,0.0,0.0,B
199400853K,1.0,1.0,97277.0,1.0,C
199401223C,1.0,1.0,0.0,0.0,B
199401694Z,1.0,1.0,0.0,0.0,B
199402071K,1.0,1.0,0.0,0.0,B
199402122M,1.0,1.0,0.0,0.0,B
