UEN,TRUE_IE,$,account,accreditation,add card,add to bag,add to cart,advert,adwords,alipay,american express,android,animation,atome,auction,automat,automobile,award,b2b,b2c,bag,bank,big,bigcommerce,blog,book,breakfast,buy,car,card,career,carousell,cart,cash,cash back,cashback,casino,check out,client,cloud,complete,consultancy,consultation,contact,contact form,customer,cyber,data,dating,deals,deliver,deliveroo,develop,development,domain,e-store,e-ticket,e-wallet,ecommerce,email,emarketing,enets,enquiry,enrol,equipment,escort,estore,facebook,favepay,firewall,foodpanda,form,free,game,get in touch,gift card,giftcard,goods,google pay,grab,grabpay,hack,hangout,hoolah,hostel,hosting,hotel,housing,instagram,intelligence,interactive,investor relations,iphone,job,kiosk,lazada,learn,linkedin,log in,log out,login,machine,magazine,magento,mail,mailing,mailing list,managed,marketing,marketplace,mastercard,media,member,menu,message,mobile,movie,multimedia,music,name,network,news,news alert,newsletter,offers,online,online store,order,partners,password,pay,paylah,paylater,payment,paynow,paypal,phone number,platform,premium,price,privacy,product,projects,promotion,purchase,qoo10,recognition,recruit,rent,research,reserv,restaurant,return,review,risk,robot,s$,sale,science,seo,serie,server,service,sgd,shipping,shop,shop pay,shopee,shopify,shopping bag,sign in,sign out,sign up,singtel dash,skype,snapchat,social media,software,spyware,store,stream,subject,submit,subscri,supply,tablet,testimonial,ticket,tiktok,topup,transfer,travel,trial,tuition,tutor,tutorial,tv,twitter,unionpay,usd,username,video,virtual,virus,visa,vlog,voucher,vpn,wallet,web design,webdesign,what we do,wishlist,wix,woocommerce,youtube,predict,sum
00119300K,B,53,18,3,3,3,10,3,3,3,9,3,31,3,3,3,3,10,3,3,23,4,3,3,9,36,3,8,439,136,3,3,193,3,3,3,3,3,3,69,9,3,3,57,3,22,3,359,6,3,8,3,10,7,27,6,3,3,3,17,3,3,3,3,3,3,6,36,3,3,3,220,6,3,3,3,3,3,9,3,3,3,3,3,3,3,3,3,56,3,3,3,9,3,3,6,5,3,3,3,6,3,3,3,17,3,3,3,3,3,13,66,5,9,52,102,3,3,3,151,6,10,3,10,4,10,3,126,3,6,314,3,3,138,19,34,3,3,9,470,9,558,3,4,8,6,4,3,108,3,10,3,71,5,3,3,3,114,3,3,3,6,3,62,33,1096,9,6,985,3,3,3,3,3,3,3,3,3,3,80,4,3,23,9,3,3,3,3,3,3,6,3,3,3,3,3,15,16,3,6,7,10,3,3,25,3,3,3,12,3,3,3,3,3,3,3,3.0,7200.0
00277200X,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
00277200X,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
00277200X,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
02484100E,B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,215.0
03317900W,C,73,4,4,4,4,4,4,4,4,4,4,100,4,4,4,4,5,4,4,28,4,4,4,4,77,4,10,16,4,4,4,4,4,4,4,4,5,4,4,16,4,4,87,8,17,4,384,4,4,28,4,12,4,8,5,4,4,4,46,4,4,4,4,4,4,5,76,4,4,4,538,4,4,7,4,4,4,4,4,4,4,4,4,4,4,4,4,33,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,74,4,4,4,4,4,4,101,8,642,35,70,4,4,4,225,4,17,4,8,4,6,4,149,4,8,6,4,4,6,4,4,4,8,4,50,4,124,4,16,6,4,4,4,184,4,8,4,160,8,4,16,28,4,4,16,4,29,50,4,6,83,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,10,46,28,4,32,55,4,4,4,4,8,4,4,4,4,47,12,4,4,8,12,5,8,4,4,4,4,4,8,4,4,4,4,144,35,3.0,4784.0
03442400L,C,81,37,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,3,3,75,15,3,3,46,3,3,3,3,3,3,5,6,3,3,45,4,3,3,33,3,3,7,3,3,3,3,3,3,3,3,12,3,3,7,3,3,3,3,7,3,3,3,51,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,17,3,3,3,13,3,3,3,3,3,7,9,3,37,5,3,3,3,3,36,3,3,3,3,3,3,3,4,3,3,11,3,3,5,3,9,3,3,3,3,7,37,3,3,3,3,3,3,14,3,5,3,7,15,3,3,3,3,3,3,3,3,3,3,3,175,3,3,3,3,5,3,7,3,3,3,3,5,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,3,3,3,5,3,3,7,3,3,3,3,3,3,3,11,3,3,3,3.0,1428.0
04150900E,B,454,4,2,2,2,2,26,2,2,2,8,34,2,2,6,4,2,4,2,2,4,2,2,2,14,2,8,42,16,2,2,4,2,2,2,2,2,2,12,38,2,2,20,4,2,2,142,2,24,8,2,2,2,1652,2,2,4,2,30,2,2,2,2,2,2,2,8,2,2,2,214,2,138,2,2,2,4,2,2,2,4,2,2,2,2,2,2,4,2,2,2,8,2,2,2,4,6,2,2,28,2,2,2,40,2,2,2,2,2,4,16,46,120,10,30,150,2,4,142,6,14,2,2,2,4,2,662,4,38,6,2,2,2,2,6,2,2,2,8,20,62,2,2,2,2,2,2,110,2,6,2,218,50,4,4,2,10,2,2,2,32,1624,2,2,4,2,2,2,2,2,2,4,2,4,2,2,2,2,16,10,4,24,4,2,4,2,4,2,2,2,2,14,2,2,2,26,6,2,4,24,34,2,2,4,2,2,2,4,2,2,2,472,2,2,8,3.0,7369.0
04925100K,C,454,4,2,2,2,2,26,2,2,2,8,34,2,2,6,4,2,4,2,2,4,2,2,2,14,2,8,42,16,2,2,4,2,2,2,2,2,2,12,38,2,2,20,4,2,2,142,2,24,8,2,2,2,1652,2,2,4,2,30,2,2,2,2,2,2,2,8,2,2,2,214,2,138,2,2,2,4,2,2,2,4,2,2,2,2,2,2,4,2,2,2,8,2,2,2,4,6,2,2,28,2,2,2,40,2,2,2,2,2,4,16,46,120,10,30,150,2,4,142,6,14,2,2,2,4,2,662,4,38,6,2,2,2,2,6,2,2,2,8,20,62,2,2,2,2,2,2,110,2,6,2,218,50,4,4,2,10,2,2,2,32,1624,2,2,4,2,2,2,2,2,2,4,2,4,2,2,2,2,16,10,4,24,4,2,4,2,4,2,2,2,2,14,2,2,2,26,6,2,4,24,34,2,2,4,2,2,2,4,2,2,2,472,2,2,8,3.0,7369.0
05450000A,B,29,9,3,3,3,14,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,25,9,3,3,190,6,3,3,178,3,3,3,3,3,3,3,6,3,3,23,3,3,3,124,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,9,3,3,3,62,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,41,3,231,6,3,3,3,3,66,3,3,3,3,3,3,3,22,3,3,3,3,3,3,3,3,6,3,3,79,9,255,3,3,3,3,3,3,55,3,3,3,18,24,3,6,9,22,3,12,3,3,3,3,32,25,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,51,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8,3,3,3,6,3,3,3,3,3,3,3,3,3,3,3,3,337,3,3.0,2561.0
